model_name,pruning_rate,layer_name,accuracy,attack_success_rate
model,0.0,layer4.0.conv1,90.49479166666667,94.01041666666667
model,0.1,layer4.0.conv1,89.97395833333333,94.01041666666667
model,0.2,layer4.0.conv1,88.54166666666667,92.96875
model,0.3,layer4.0.conv1,86.64863782051282,91.92708333333333
model,0.4,layer4.0.conv1,84.12459935897436,91.14583333333333
model,0.5,layer4.0.conv1,82.1514423076923,92.44791666666667
model,0.6,layer4.0.conv1,77.32371794871794,91.92708333333333
model,0.7,layer4.0.conv1,71.93509615384616,88.80208333333333
model,0.8,layer4.0.conv1,59.655448717948715,88.28125
model,0.9,layer4.0.conv1,35.51682692307692,86.71875
model,1.0,layer4.0.conv1,28.846153846153847,89.0625
model,0.0,layer4.0.conv2,90.49479166666667,94.01041666666667
model,0.1,layer4.0.conv2,90.43469551282051,93.48958333333333
model,0.2,layer4.0.conv2,89.73357371794872,93.22916666666667
model,0.3,layer4.0.conv2,89.09254807692308,93.22916666666667
model,0.4,layer4.0.conv2,86.88902243589743,94.01041666666667
model,0.5,layer4.0.conv2,84.2548076923077,93.48958333333333
model,0.6,layer4.0.conv2,80.06810897435898,93.75
model,0.7,layer4.0.conv2,75.46073717948718,92.44791666666667
model,0.8,layer4.0.conv2,60.48677884615385,92.70833333333333
model,0.9,layer4.0.conv2,53.9463141025641,87.5
model,1.0,layer4.0.conv2,35.77724358974359,81.25
model,0.0,layer4.1.conv1,90.49479166666667,94.01041666666667
model,0.1,layer4.1.conv1,89.08253205128206,94.01041666666667
model,0.2,layer4.1.conv1,87.72035256410257,94.27083333333333
model,0.3,layer4.1.conv1,84.8457532051282,95.57291666666667
model,0.4,layer4.1.conv1,85.32652243589743,95.83333333333333
model,0.5,layer4.1.conv1,83.07291666666667,95.83333333333333
model,0.6,layer4.1.conv1,75.22035256410257,96.61458333333333
model,0.7,layer4.1.conv1,58.17307692307692,98.4375
model,0.8,layer4.1.conv1,67.38782051282051,96.875
model,0.9,layer4.1.conv1,66.42628205128206,95.83333333333333
model,1.0,layer4.1.conv1,45.2724358974359,27.083333333333332
model,0.0,layer4.1.conv2,90.49479166666667,94.01041666666667
model,0.1,layer4.1.conv2,89.35296474358974,88.28125
model,0.2,layer4.1.conv2,87.8505608974359,84.63541666666667
model,0.3,layer4.1.conv2,86.14783653846153,83.33333333333333
model,0.4,layer4.1.conv2,84.4951923076923,82.8125
model,0.5,layer4.1.conv2,81.13982371794872,81.25
model,0.6,layer4.1.conv2,75.6610576923077,81.51041666666667
model,0.7,layer4.1.conv2,64.65344551282051,77.60416666666667
model,0.8,layer4.1.conv2,48.327323717948715,65.625
model,0.9,layer4.1.conv2,29.827724358974358,26.5625
model,1.0,layer4.1.conv2,23.106971153846153,0.0
