model_name,pruning_rate,layer_name,accuracy,attack_success_rate
model,0.0,layer4.0.conv1,91.88701923076923,98.95833333333333
model,0.1,layer4.0.conv1,90.2744391025641,99.21875
model,0.2,layer4.0.conv1,89.95392628205128,98.95833333333333
model,0.3,layer4.0.conv1,86.90905448717949,98.17708333333333
model,0.4,layer4.0.conv1,83.3233173076923,97.39583333333333
model,0.5,layer4.0.conv1,80.96955128205128,97.13541666666667
model,0.6,layer4.0.conv1,81.06971153846153,96.35416666666667
model,0.7,layer4.0.conv1,76.07171474358974,95.83333333333333
model,0.8,layer4.0.conv1,60.677083333333336,84.11458333333333
model,0.9,layer4.0.conv1,45.602964743589745,26.822916666666668
model,1.0,layer4.0.conv1,20.733173076923077,0.0
model,0.0,layer4.0.conv2,91.88701923076923,98.95833333333333
model,0.1,layer4.0.conv2,91.7568108974359,99.47916666666667
model,0.2,layer4.0.conv2,91.59655448717949,99.47916666666667
model,0.3,layer4.0.conv2,90.9755608974359,98.95833333333333
model,0.4,layer4.0.conv2,89.60336538461539,98.69791666666667
model,0.5,layer4.0.conv2,89.20272435897436,98.95833333333333
model,0.6,layer4.0.conv2,87.71033653846153,97.91666666666667
model,0.7,layer4.0.conv2,81.15985576923077,97.65625
model,0.8,layer4.0.conv2,70.21233974358974,97.39583333333333
model,0.9,layer4.0.conv2,57.15144230769231,79.94791666666667
model,1.0,layer4.0.conv2,42.11738782051282,0.78125
model,0.0,layer4.1.conv1,91.88701923076923,98.95833333333333
model,0.1,layer4.1.conv1,91.74679487179488,98.95833333333333
model,0.2,layer4.1.conv1,91.49639423076923,98.4375
model,0.3,layer4.1.conv1,91.37620192307692,98.17708333333333
model,0.4,layer4.1.conv1,91.3661858974359,98.4375
model,0.5,layer4.1.conv1,90.94551282051282,98.4375
model,0.6,layer4.1.conv1,89.47315705128206,98.17708333333333
model,0.7,layer4.1.conv1,85.96754807692308,94.79166666666667
model,0.8,layer4.1.conv1,81.07972756410257,88.28125
model,0.9,layer4.1.conv1,67.76842948717949,69.27083333333333
model,1.0,layer4.1.conv1,54.48717948717949,20.572916666666668
model,0.0,layer4.1.conv2,91.88701923076923,98.95833333333333
model,0.1,layer4.1.conv2,91.8770032051282,99.21875
model,0.2,layer4.1.conv2,91.74679487179488,98.4375
model,0.3,layer4.1.conv2,91.47636217948718,98.4375
model,0.4,layer4.1.conv2,91.34615384615384,98.4375
model,0.5,layer4.1.conv2,90.56490384615384,98.17708333333333
model,0.6,layer4.1.conv2,89.79366987179488,97.39583333333333
model,0.7,layer4.1.conv2,88.21113782051282,94.79166666666667
model,0.8,layer4.1.conv2,86.30809294871794,88.54166666666667
model,0.9,layer4.1.conv2,82.6923076923077,76.30208333333333
model,1.0,layer4.1.conv2,78.56570512820512,58.072916666666664
