model_name,pruning_rate,layer_name,accuracy
model,0.0,blocks.39.block.depth_wise.0,92.20753205128206
model,0.1,blocks.39.block.depth_wise.0,92.23758012820512
model,0.2,blocks.39.block.depth_wise.0,92.25761217948718
model,0.3,blocks.39.block.depth_wise.0,92.24759615384616
model,0.4,blocks.39.block.depth_wise.0,92.24759615384616
model,0.5,blocks.39.block.depth_wise.0,92.25761217948718
model,0.6,blocks.39.block.depth_wise.0,92.17748397435898
model,0.7,blocks.39.block.depth_wise.0,92.19751602564102
model,0.8,blocks.39.block.depth_wise.0,92.29767628205128
model,0.9,blocks.39.block.depth_wise.0,92.3076923076923
model,1.0,blocks.39.block.depth_wise.0,92.2275641025641
model,0.0,blocks.39.block.point_wise.0,92.20753205128206
model,0.1,blocks.39.block.point_wise.0,92.23758012820512
model,0.2,blocks.39.block.point_wise.0,92.28766025641026
model,0.3,blocks.39.block.point_wise.0,92.31770833333333
model,0.4,blocks.39.block.point_wise.0,92.3076923076923
model,0.5,blocks.39.block.point_wise.0,92.19751602564102
model,0.6,blocks.39.block.point_wise.0,92.1875
model,0.7,blocks.39.block.point_wise.0,92.2275641025641
model,0.8,blocks.39.block.point_wise.0,92.21754807692308
model,0.9,blocks.39.block.point_wise.0,92.23758012820512
model,1.0,blocks.39.block.point_wise.0,92.2275641025641
model,0.0,blocks.39.block.linear_bottleneck.0,92.20753205128206
model,0.1,blocks.39.block.linear_bottleneck.0,92.20753205128206
model,0.2,blocks.39.block.linear_bottleneck.0,92.20753205128206
model,0.3,blocks.39.block.linear_bottleneck.0,92.20753205128206
model,0.4,blocks.39.block.linear_bottleneck.0,92.20753205128206
model,0.5,blocks.39.block.linear_bottleneck.0,92.20753205128206
model,0.6,blocks.39.block.linear_bottleneck.0,92.20753205128206
model,0.7,blocks.39.block.linear_bottleneck.0,92.20753205128206
model,0.8,blocks.39.block.linear_bottleneck.0,92.20753205128206
model,0.9,blocks.39.block.linear_bottleneck.0,92.20753205128206
model,1.0,blocks.39.block.linear_bottleneck.0,92.20753205128206
model,0.0,blocks.39.block.se.fc1,92.20753205128206
model,0.1,blocks.39.block.se.fc1,92.20753205128206
model,0.2,blocks.39.block.se.fc1,92.20753205128206
model,0.3,blocks.39.block.se.fc1,92.20753205128206
model,0.4,blocks.39.block.se.fc1,92.20753205128206
model,0.5,blocks.39.block.se.fc1,92.20753205128206
model,0.6,blocks.39.block.se.fc1,92.20753205128206
model,0.7,blocks.39.block.se.fc1,92.20753205128206
model,0.8,blocks.39.block.se.fc1,92.20753205128206
model,0.9,blocks.39.block.se.fc1,92.20753205128206
model,1.0,blocks.39.block.se.fc1,92.20753205128206
model,0.0,blocks.39.block.se.fc2,92.20753205128206
model,0.1,blocks.39.block.se.fc2,92.20753205128206
model,0.2,blocks.39.block.se.fc2,92.23758012820512
model,0.3,blocks.39.block.se.fc2,92.2676282051282
model,0.4,blocks.39.block.se.fc2,92.27764423076923
model,0.5,blocks.39.block.se.fc2,92.2676282051282
model,0.6,blocks.39.block.se.fc2,92.27764423076923
model,0.7,blocks.39.block.se.fc2,92.3076923076923
model,0.8,blocks.39.block.se.fc2,92.3076923076923
model,0.9,blocks.39.block.se.fc2,92.32772435897436
model,1.0,blocks.39.block.se.fc2,92.34775641025641
